h,l,k,d - spacing,"2	θ",Structure,Li,Co,O
0,0,3,4.682,18.939,LiCo0.91O1.84,1,0.91,1.84
0,0,3,4.81233,18.4216,Li0.37CoO2,0.37,1,2
0,0,3,4.74917,18.6688,Li0.58CoO2,0.58,1,2
0,0,3,4.69767,18.8753,Li0.79CoO2,0.79,1,2
0,0,3,4.6866,18.9203,Li0.89CoO2,0.89,1,2
0,0,3,4.79633,18.4836,Li1.48CoO2,1.48,1,2
0,0,3,4.68453,18.9287,LiCoO2,1,1,2
0,0,6,2.341,38.4218,LiCo0.91O1.84,1,0.91,1.84
0,1,2,2.30334,39.0752,LiCo0.91O1.84,1,0.91,1.84
1,0,4,2.00276,45.12,LiCo0.91O1.84,1,0.91,1.84
0,0,9,1.56067,59.1508,LiCo0.91O1.84,1,0.91,1.84
0,0,12,1.1705,82.309,LiCo0.91O1.84,1,0.91,1.84
0,0,6,2.40617,37.3421,Li0.37CoO2,0.37,1,2
0,1,2,2.30749,39.0022,Li0.37CoO2,0.37,1,2
1,0,4,2.01872,44.8628,Li0.37CoO2,0.37,1,2
0,0,9,1.60411,57.3971,Li0.37CoO2,0.37,1,2
0,0,12,1.20308,79.6237,Li0.37CoO2,0.37,1,2
0,0,6,2.37458,37.8575,Li0.58CoO2,0.58,1,2
0,1,2,2.30617,39.0253,Li0.58CoO2,0.58,1,2
1,0,4,2.01153,45.0318,Li0.58CoO2,0.58,1,2
0,0,9,1.58306,58.2332,Li0.58CoO2,0.58,1,2
0,0,12,1.18729,80.9,Li0.58CoO2,0.58,1,2
0,0,6,2.34883,38.2886,Li0.79CoO2,0.79,1,2
0,1,2,2.30497,39.0464,Li0.79CoO2,0.79,1,2
1,0,4,2.00546,45.1757,Li0.79CoO2,0.79,1,2
0,0,9,1.56589,58.9341,Li0.79CoO2,0.79,1,2
0,0,12,1.17442,81.9754,Li0.79CoO2,0.79,1,2
0,0,6,2.3433,38.3826,Li0.89CoO2,0.89,1,2
0,1,2,2.30512,39.0438,Li0.89CoO2,0.89,1,2
1,0,4,2.00441,45.2007,Li0.89CoO2,0.89,1,2
0,0,9,1.5622,59.087,Li0.89CoO2,0.89,1,2
0,0,12,1.17165,82.2107,Li0.89CoO2,0.89,1,2
0,0,6,2.39817,37.4713,Li1.48CoO2,1.48,1,2
0,1,2,2.30449,39.0549,Li1.48CoO2,1.48,1,2
1,0,4,2.01514,44.9469,Li1.48CoO2,1.48,1,2
0,0,9,1.59878,57.6065,Li1.48CoO2,1.48,1,2
0,0,12,1.19908,79.9427,Li1.48CoO2,1.48,1,2
0,0,6,2.34227,38.4002,LiCoO2,1,1,2
0,1,2,2.30399,39.0638,LiCoO2,1,1,2
1,0,4,2.00345,45.2236,LiCoO2,1,1,2
0,0,9,1.56151,59.1157,LiCoO2,1,1,2
0,0,12,1.17113,82.2549,LiCoO2,1,1,2
